Issue Key,Issue Type,Status,Resolved,Has '变更' Label,Team Parent,Team Child,Created
CVMAS-124424,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-10T14:51:57.000+0800
CVMAS-124411,故事,开发测试执行中,False,False,C端平台,移动销售购车,2025-04-10T14:20:44.000+0800
CVMAS-124296,故事,Funnel 需求漏斗,False,False,C端平台,移动基础&商城,2025-04-10T09:43:58.000+0800
CVMAS-124295,故事,Funnel 需求漏斗,False,False,C端平台,移动基础&商城,2025-04-10T09:43:38.000+0800
CVMAS-124289,故事,To Do 待办,False,False,C端平台,移动基础&商城,2025-04-09T20:37:59.000+0800
CVMAS-124270,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-09T17:15:03.000+0800
CVMAS-124268,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-09T17:12:55.000+0800
CVMAS-124267,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-09T17:11:54.000+0800
CVMAS-124266,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-09T17:09:24.000+0800
CVMAS-124265,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-09T17:04:07.000+0800
CVMAS-124255,故事,To Do 待办,False,False,C端平台,移动销售购车,2025-04-09T14:27:51.000+0800
CVMAS-124222,故事,To Do 待办,False,False,C端平台,移动活动&用户运营团队,2025-04-08T16:40:27.000+0800
CVMAS-124214,故事,Funnel 需求漏斗,False,False,C端平台,移动充电售后,2025-04-08T15:31:27.000+0800
CVMAS-124200,故事,Funnel 需求漏斗,False,False,C端平台,移动充电售后,2025-04-08T14:12:07.000+0800
CVMAS-124199,故事,Funnel 需求漏斗,False,False,C端平台,移动充电售后,2025-04-08T14:10:39.000+0800
CVMAS-124197,故事,Waiting for test 待测试,False,False,C端平台,移动充电售后,2025-04-08T14:06:49.000+0800
CVMAS-124184,故事,Funnel 需求漏斗,False,False,C端平台,移动活动&用户运营团队,2025-04-08T10:16:21.000+0800
CVMAS-124011,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-07T16:29:28.000+0800
CVMAS-123985,故事,Testing 测试执行中,False,False,C端平台,移动销售购车,2025-04-07T11:31:12.000+0800
CVMAS-123982,故事,Testing 测试执行中,False,False,C端平台,移动销售购车,2025-04-07T11:26:58.000+0800
CVMAS-123865,测试QA工作任务,To Do 待办,False,False,C端平台,移动活动,2025-04-03T14:24:38.000+0800
CVMAS-123845,故事,Funnel 需求漏斗,False,False,C端平台,移动活动&用户运营团队,2025-04-03T11:45:52.000+0800
CVMAS-123844,故事,Funnel 需求漏斗,False,False,C端平台,移动活动&用户运营团队,2025-04-03T11:44:27.000+0800
CVMAS-123842,故事,Funnel 需求漏斗,False,False,C端平台,移动活动&用户运营团队,2025-04-03T11:39:30.000+0800
CVMAS-123833,测试QA工作任务,To Do 待办,False,False,C端平台,移动活动,2025-04-03T11:20:59.000+0800
CVMAS-123832,测试QA工作任务,任务完成 Done,True,False,C端平台,移动活动,2025-04-03T11:20:39.000+0800
CVMAS-123739,故事,To Do 待办,False,False,C端平台,移动销售购车,2025-04-02T17:00:45.000+0800
CVMAS-123611,故事,Funnel 需求漏斗,False,False,C端平台,移动充电售后,2025-04-01T17:28:58.000+0800
CVMAS-123608,故事,Funnel 需求漏斗,False,False,C端平台,移动充电售后,2025-04-01T17:22:58.000+0800
CVMAS-123517,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-04-01T11:03:35.000+0800
CVMAS-123501,测试QA工作任务,To Do 待办,False,False,C端平台,移动基础&商城,2025-04-01T10:17:23.000+0800
CVMAS-123500,测试QA工作任务,开发测试执行中,False,False,C端平台,移动基础&商城,2025-04-01T10:17:07.000+0800
CVMAS-123292,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-03-27T19:34:52.000+0800
CVMAS-123291,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-03-27T19:27:57.000+0800
CVMAS-123290,故事,Funnel 需求漏斗,False,False,C端平台,移动活动,2025-03-27T19:19:16.000+0800
